ID,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Manufacturer_Model,Price
45757302,1811,LEXUS,GX 460,2010,Jeep,Yes,Petrol,4.6,155821 km,8.0,Automatic,4x4,04-May,Left wheel,Black,0,LEXUS GX 460,39201
45805913,-,MITSUBISHI,Pajero,1998,Jeep,No,Petrol,3.5 Turbo,11000 km,6.0,Tiptronic,4x4,04-May,Right-hand drive,Silver,4,MITSUBISHI Pajero,9408
45764685,308,LEXUS,CT 200h,2014,Hatchback,Yes,Hybrid,1.8,132563 km,4.0,Automatic,Front,04-May,Left wheel,Red,0,LEXUS CT 200h,11447
45799979,1473,JEEP,Liberty,2010,Jeep,No,Petrol,3.7,228800 km,6.0,Automatic,4x4,04-May,Left wheel,Black,8,JEEP Liberty,15994
45770107,1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,132630 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12,MERCEDES-BENZ E 350,314
45779354,-,LEXUS,CT 200h,2014,Hatchback,Yes,Hybrid,1.8,66000 km,4.0,Automatic,Front,04-May,Left wheel,White,12,LEXUS CT 200h,29793
45755078,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,228717 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,TOYOTA Camry,2430
45776672,1017,HYUNDAI,Elantra,2017,Sedan,No,Petrol,2,44000 km,4.0,Automatic,Front,04-May,Left wheel,Black,6,HYUNDAI Elantra,17562
45809848,501,TOYOTA,Aqua,2014,Hatchback,Yes,Petrol,1.5,123000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,TOYOTA Aqua,12607
45730322,1099,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,195000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,SSANGYONG REXTON,22947
45782651,-,NISSAN,Tiida,2007,Sedan,Yes,Petrol,1.5,157500 km,4.0,Variator,Front,04-May,Right-hand drive,Black,7,NISSAN Tiida,9095
45803378,642,HYUNDAI,Sonata,2012,Sedan,Yes,LPG,2,453075 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Sonata,7527
45787209,-,OPEL,Astra,1998,Sedan,Yes,Petrol,1.6,0 km,4.0,Manual,Front,02-Mar,Left wheel,Silver,2,OPEL Astra,5018
45807439,919,MERCEDES-BENZ,ML 350,2012,Jeep,Yes,Diesel,3,221312 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12,MERCEDES-BENZ ML 350,157
45806689,843,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,145600 km,4.0,Automatic,Front,04-May,Left wheel,Blue,12,TOYOTA Prius,10976
45803399,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,312519 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Sonata,15367
45760817,447,HONDA,Insight,2013,Hatchback,Yes,Hybrid,1.3,143597 km,4.0,Automatic,Front,04-May,Left wheel,Silver,0,HONDA Insight,862
45793417,-,HYUNDAI,Elantra,2012,Sedan,No,Petrol,1.8,13500 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,4,HYUNDAI Elantra,17562
41883006,-,FORD,Fusion,2014,Sedan,No,Petrol,2.5,148800 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,6,FORD Fusion,20385
45792221,1016,KIA,Optima,2017,Sedan,Yes,Petrol,2,30087 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,KIA Optima,27441
45333658,1598,MERCEDES-BENZ,ML 280,2008,Jeep,Yes,Diesel,3,218000 km,6.0,Automatic,4x4,04-May,Left wheel,Grey,8,MERCEDES-BENZ ML 280,27598
45785234,-,BMW,X5,2008,Jeep,Yes,Petrol,3,245000 km,6.0,Automatic,Rear,04-May,Left wheel,Black,0,BMW X5,24148
45731773,1091,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,156151 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,HYUNDAI H1,36219
45805021,836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,130339 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Tucson,7213
45656766,308,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,146019 km,4.0,Automatic,Front,04-May,Left wheel,White,12,TOYOTA Prius,188
45813508,891,BMW,328,2016,Sedan,Yes,Petrol,2,51930 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12,BMW 328,3136
45816323,1211,BMW,X5,2010,Jeep,Yes,Petrol,3,268528 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12,BMW X5,282
45485469,-,VOLKSWAGEN,CC,2010,Sedan,Yes,Petrol,2.0 Turbo,174000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,12,VOLKSWAGEN CC,16308
43719159,707,MITSUBISHI,Outlander,2011,Jeep,Yes,Petrol,2,100000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,8,MITSUBISHI Outlander,13998
45730136,730,SSANGYONG,Actyon,2016,Jeep,Yes,Petrol,1.6,60108 km,4.0,Automatic,Front,04-May,Left wheel,White,4,SSANGYONG Actyon,39201
45809132,833,CHEVROLET,Captiva,2015,Jeep,Yes,Diesel,2.2,70000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,CHEVROLET Captiva,25440
45801602,531,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,106400 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Elantra,20266
45793192,641,CHEVROLET,Orlando,2012,Jeep,Yes,Diesel,2,38235 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,CHEVROLET Orlando,9405
45789897,781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,124000 km,6.0,Automatic,Front,04-May,Left wheel,White,9,TOYOTA Camry,17249
45809163,640,FORD,Taurus,2013,Sedan,Yes,Petrol,2,72407 km,4.0,Automatic,Front,04-May,Left wheel,White,4,FORD Taurus,39499
45802145,1024,HYUNDAI,H1,2010,Minivan,Yes,Diesel,2.5,112219 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI H1,10945
45786440,-,HONDA,FIT,2010,Hatchback,Yes,Petrol,1.3,113581 km,4.0,Manual,Front,04-May,Right-hand drive,White,4,HONDA FIT,11290
45813092,1036,BMW,328,2015,Sedan,Yes,Petrol,2.8 Turbo,38415 km,4.0,Tiptronic,4x4,04-May,Left wheel,Black,12,BMW 328,37006
45772582,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,1600 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12,MERCEDES-BENZ E 300,392
45631248,640,SUBARU,XV,2013,Sedan,Yes,Petrol,2,105523 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,0,SUBARU XV,5645
45769750,-,TOYOTA,ISIS,2008,Minivan,No,Petrol,2,200000 km,4.0,Automatic,Front,04-May,Right-hand drive,White,8,TOYOTA ISIS,60
45802256,777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,139905 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI H1,36968
45730375,730,SSANGYONG,Actyon,2016,Jeep,Yes,Diesel,1.6,68942 km,4.0,Automatic,Front,04-May,Left wheel,White,4,SSANGYONG Actyon,39750
45802453,917,HYUNDAI,Grandeur,2013,Sedan,Yes,Petrol,3,55171 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,HYUNDAI Grandeur,22894
45715292,761,TOYOTA,Prius,2010,Hatchback,No,Hybrid,1.8,146000 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,TOYOTA Prius,9879
45810776,-,TOYOTA,Corolla,2010,Sedan,No,LPG,1.8,140000 km,4.0,Automatic,Front,04-May,Left wheel,Carnelian red,8,TOYOTA Corolla,9500
45783172,586,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.8,195200 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,HYUNDAI Elantra,16308
45776030,1249,NISSAN,Altima,2017,Sedan,No,Petrol,2.5,28800 km,4.0,Automatic,Front,04-May,Left wheel,White,10,NISSAN Altima,27284
45779842,-,TOYOTA,Prius,2013,Sedan,No,Hybrid,1.8,136600 km,4.0,Automatic,Front,04-May,Left wheel,White,8,TOYOTA Prius,21326
45804593,-,FORD,Transit,1998,Microbus,No,Diesel,2.5 Turbo,326729 km,4.0,Manual,Rear,04-May,Left wheel,Grey,2,FORD Transit,9408
45642621,639,VOLKSWAGEN,Passat,2014,Sedan,Yes,Diesel,2,77349 km,4.0,Automatic,Front,04-May,Left wheel,White,12,VOLKSWAGEN Passat,5018
45804878,-,BMW,535 i,2007,Sedan,Yes,Petrol,3.0 Turbo,230000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Black,8,BMW 535 i,17876
45636733,333,SUBARU,XV,2014,Sedan,Yes,Hybrid,2,270472 km,4.0,Automatic,4x4,04-May,Left wheel,White,0,SUBARU XV,15681
45770895,1624,MERCEDES-BENZ,E 350,2009,Sedan,Yes,Diesel,3.5,266061 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,MERCEDES-BENZ E 350,1411
45729688,530,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,50015 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,HYUNDAI Elantra,28241
45771988,1829,SUBARU,Forester,2006,Jeep,Yes,Petrol,2.5,262298 km,4.0,Automatic,4x4,04-May,Left wheel,Blue,12,SUBARU Forester,1098
45801881,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,132967 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,HYUNDAI Elantra,13476
45779279,-,NISSAN,Tiida,2004,Hatchback,No,Petrol,1.5,111111 km,4.0,Variator,Front,04-May,Right-hand drive,White,6,NISSAN Tiida,8154
45795052,-,BMW,745,2003,Sedan,Yes,Petrol,4.5,224000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Black,8,BMW 745,18817
45641903,1273,KIA,Sportage,2020,Jeep,Yes,Petrol,2.4,6216 km,4.0,Automatic,Front,04-May,Left wheel,Carnelian red,12,KIA Sportage,1098
45654826,308,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,140414 km,4.0,Automatic,Front,04-May,Left wheel,White,12,TOYOTA Prius,188
45801384,585,TOYOTA,Prius,2013,Sedan,Yes,Hybrid,1.8,180000 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,0,TOYOTA Prius,15681
45776767,-,TOYOTA,RAV 4,1996,Jeep,No,Petrol,2,0 km,4.0,Automatic,4x4,02-Mar,Right-hand drive,Blue,4,TOYOTA RAV 4,4704
45732736,639,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,404507 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Sonata,10036
45775273,-,MERCEDES-BENZ,C 230,2007,Sedan,Yes,Petrol,2.5,255000 km,6.0,Tiptronic,Rear,04-May,Left wheel,Silver,6,MERCEDES-BENZ C 230,18817
45769198,1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Diesel,3.5,189530 km,6.0,Automatic,4x4,04-May,Left wheel,Black,12,MERCEDES-BENZ E 350,12388
45368790,-,OPEL,Astra,1998,Universal,No,CNG,1.6,256000 km,4.0,Manual,Front,04-May,Left wheel,Silver,4,OPEL Astra,6899
45695559,831,KIA,Optima,2011,Sedan,No,Hybrid,2.4,163065 km,4.0,Tiptronic,Front,04-May,Left wheel,Silver,12,KIA Optima,11290
45812616,-,MITSUBISHI,Pajero IO,2001,Jeep,Yes,Petrol,2,0 km,4.0,Automatic,4x4,04-May,Left wheel,White,3,MITSUBISHI Pajero IO,10036
45665255,891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,92000 km,4.0,Tiptronic,Front,04-May,Left wheel,Black,8,HYUNDAI Elantra,23207
45773345,394,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,0 km,4.0,Automatic,Front,04-May,Left wheel,Black,12,TOYOTA Camry,10349
45789886,1705,SSANGYONG,REXTON,2007,Jeep,Yes,Diesel,2.7,76224 km,4.0,Automatic,Front,04-May,Left wheel,Black,4,SSANGYONG REXTON,6272
45804799,930,HYUNDAI,Tucson,2018,Jeep,Yes,Diesel,1.7,79550 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Tucson,53154
45775311,-,TOYOTA,VOXY,2003,Minivan,Yes,CNG,2,210000 km,4.0,Automatic,Rear,04-May,Right-hand drive,Black,8,TOYOTA VOXY,7527
45770919,1493,MERCEDES-BENZ,E 350,2016,Sedan,Yes,Diesel,3.5,77205 km,6.0,Automatic,Rear,04-May,Left wheel,Grey,12,MERCEDES-BENZ E 350,1568
45801846,687,HYUNDAI,Elantra,2010,Sedan,Yes,Petrol,1.6,115783 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Elantra,13658
45656545,738,CHEVROLET,Cruze,2017,Sedan,Yes,Petrol,1.4 Turbo,148800 km,4.0,Tiptronic,Front,04-May,Left wheel,Red,12,CHEVROLET Cruze,11290
44413913,503,TOYOTA,Prius C ჰიბრიდი,2012,Hatchback,No,Hybrid,1.5,110000 km,4.0,Automatic,Front,04-May,Left wheel,Sky blue,12,TOYOTA Prius C ჰიბრიდი,18503
45806386,308,TOYOTA,Prius,2014,Hatchback,Yes,Hybrid,1.8,212357 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,TOYOTA Prius,3136
45769285,1598,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3,175614 km,6.0,Automatic,Rear,04-May,Left wheel,Black,12,MERCEDES-BENZ E 350,2430
45733250,765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,559710 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,HYUNDAI Sonata,12544
45797149,1091,HYUNDAI,H1,2016,Minivan,Yes,Diesel,2.5,104697 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI H1,41886
45794882,-,MITSUBISHI,Pajero IO,2000,Jeep,No,Petrol,1.8,111111 km,4.0,Automatic,4x4,04-May,Left wheel,White,2,MITSUBISHI Pajero IO,9408
45549461,781,VOLKSWAGEN,Passat se,2012,Sedan,Yes,Petrol,2.5,71000 km,5.0,Tiptronic,Front,04-May,Left wheel,Grey,6,VOLKSWAGEN Passat se,20385
45732940,707,HYUNDAI,Sonata,2011,Sedan,Yes,LPG,2,82328 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Sonata,7056
45752288,880,NISSAN,Versa,2018,Sedan,Yes,Petrol,1.6,0 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,NISSAN Versa,2587
45781346,-,TOYOTA,Land Cruiser,2013,Jeep,Yes,Petrol,4.7,180000 km,8.0,Tiptronic,4x4,04-May,Left wheel,Black,8,TOYOTA Land Cruiser,111332
45807545,765,MERCEDES-BENZ,C 300,2015,Sedan,Yes,Petrol,2,64003 km,4.0,Automatic,Rear,04-May,Left wheel,Silver,12,MERCEDES-BENZ C 300,110
45635128,333,FORD,Fusion,2014,Sedan,Yes,Hybrid,2,124493 km,4.0,Automatic,Front,04-May,Left wheel,White,0,FORD Fusion,314
45787171,-,MERCEDES-BENZ,Vito,1999,Minivan,No,Diesel,2.3,5555551 km,4.0,Manual,Front,02-Mar,Left wheel,White,1,MERCEDES-BENZ Vito,6272
45793103,-,BMW,X1,2015,Jeep,Yes,Diesel,2.0 Turbo,153000 km,4.0,Tiptronic,4x4,04-May,Left wheel,Blue,12,BMW X1,43902
45653857,919,BMW,X5,2012,Jeep,Yes,Diesel,3,274098 km,6.0,Automatic,4x4,04-May,Left wheel,White,0,BMW X5,7213
45816187,-,MERCEDES-BENZ,E 320,1998,Sedan,Yes,Petrol,3.2,253000 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,6,MERCEDES-BENZ E 320,7213
45732383,642,HYUNDAI,Santa FE,2012,Jeep,Yes,Diesel,2,148310 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Santa FE,29580
45095136,1111,HONDA,FIT,2012,Hatchback,No,Hybrid,1.3,64000 km,4.0,Variator,Front,04-May,Right-hand drive,Black,4,HONDA FIT,9408
45567391,-,MERCEDES-BENZ,CLK 230,1998,Coupe,Yes,Petrol,2.3 Turbo,301000 km,6.0,Automatic,Rear,02-Mar,Left wheel,Silver,5,MERCEDES-BENZ CLK 230,6899
45729844,629,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,38914 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,HYUNDAI Elantra,27065
45753731,-,VOLKSWAGEN,Polo,1998,Hatchback,No,Petrol,1.4,194000 km,4.0,Manual,Front,04-May,Left wheel,Blue,2,VOLKSWAGEN Polo,5645
45795874,917,MERCEDES-BENZ,ML 350,2013,Jeep,Yes,Diesel,3,244800 km,6.0,Automatic,4x4,04-May,Left wheel,White,8,MERCEDES-BENZ ML 350,40769
45803404,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,295509 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HYUNDAI Sonata,15681
45499503,1032,NISSAN,Note,2012,Hatchback,Yes,Petrol,1.2,144000 km,4.0,Automatic,Front,04-May,Right-hand drive,Black,8,NISSAN Note,10663
45797012,-,HONDA,CR-Z,2011,Sedan,No,Hybrid,1.5,170000 km,4.0,Automatic,Front,02-Mar,Left wheel,Black,4,HONDA CR-Z,10976
45688790,761,TOYOTA,Prius,2010,Sedan,Yes,Hybrid,1.8,312000 km,4.0,Variator,Front,04-May,Left wheel,Black,8,TOYOTA Prius,14113
45765659,531,NISSAN,Juke,2012,Jeep,Yes,Petrol,1.6,190454 km,4.0,Automatic,4x4,04-May,Left wheel,Black,0,NISSAN Juke,157
45768300,645,TOYOTA,Prius,2011,Jeep,Yes,Hybrid,1.8,326325 km,4.0,Automatic,Front,04-May,Left wheel,Silver,12,TOYOTA Prius,314
45792129,640,KIA,Optima,2013,Sedan,Yes,Petrol,2,43330 km,4.0,Automatic,Front,04-May,Left wheel,White,4,KIA Optima,16465
45808430,-,HONDA,FIT,2002,Hatchback,No,Petrol,1.3,161000 km,4.0,Automatic,Front,04-May,Right-hand drive,Red,4,HONDA FIT,6272
45789485,915,AUDI,Q7,2014,Jeep,Yes,Petrol,3.0 Turbo,92000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,12,AUDI Q7,62722
34417507,-,SUZUKI,Grand Vitara,2007,Jeep,No,Petrol,2.7,83000 km,6.0,Automatic,Rear,04-May,Left wheel,Silver,12,SUZUKI Grand Vitara,60
45812657,781,CHEVROLET,Cruze,2018,Sedan,Yes,Petrol,1.4,41822 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,CHEVROLET Cruze,4704
45809853,-,VOLKSWAGEN,Passat,2005,Sedan,Yes,Petrol,1.8 Turbo,179760 km,4.0,Automatic,Front,04-May,Left wheel,Silver,10,VOLKSWAGEN Passat,5018
45771078,1017,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2,26802 km,4.0,Automatic,Rear,04-May,Left wheel,Black,12,MERCEDES-BENZ E 300,314
45815975,585,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.8,177590 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,HYUNDAI Elantra,1960
45809113,732,HONDA,FIT,2018,Hatchback,Yes,Petrol,1.3,10970 km,4.0,Automatic,Front,04-May,Left wheel,Silver,4,HONDA FIT,21683
45803157,891,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,388495 km,4.0,Automatic,Front,04-May,Left wheel,Orange,4,HYUNDAI Sonata,13172
45760787,-,BMW,X5,2003,Jeep,Yes,Diesel,3.0 Turbo,270000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,6,BMW X5,19757
45760082,-,MERCEDES-BENZ,ML 280,2009,Jeep,Yes,Diesel,3.0 Turbo,158000 km,6.0,Tiptronic,4x4,04-May,Left wheel,Black,8,MERCEDES-BENZ ML 280,34494
45791751,1391,MERCEDES-BENZ,GL 450,2012,Jeep,Yes,Petrol,4.7,155313 km,8.0,Automatic,4x4,04-May,Left wheel,Black,12,MERCEDES-BENZ GL 450,35752
45802880,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,140633 km,4.0,Automatic,Front,04-May,Left wheel,Blue,4,HYUNDAI Santa FE,45138
45808598,831,NISSAN,Versa,2017,Jeep,Yes,Petrol,1.6,59974 km,4.0,Automatic,Front,04-May,Left wheel,Red,12,NISSAN Versa,3136
45155193,1031,NISSAN,Note,2013,Hatchback,No,Petrol,1.2,36000 km,3.0,Variator,Front,04-May,Right-hand drive,Black,2,NISSAN Note,7000
45414140,-,TOYOTA,Aqua,2013,Hatchback,No,Hybrid,1.5,185000 km,4.0,Variator,Front,04-May,Right-hand drive,White,2,TOYOTA Aqua,12231
45781755,-,SKODA,Octavia,2005,Sedan,No,Petrol,2,450000 km,4.0,Manual,Front,04-May,Left wheel,White,4,SKODA Octavia,5959
45811366,1405,MERCEDES-BENZ,ML 350,2009,Jeep,Yes,Diesel,3,278904 km,6.0,Automatic,4x4,04-May,Left wheel,Blue,12,MERCEDES-BENZ ML 350,10663
45809557,707,CHEVROLET,Cruze,2011,Sedan,Yes,Diesel,2,202420 km,4.0,Automatic,Front,04-May,Left wheel,White,4,CHEVROLET Cruze,10986
45797945,530,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,117500 km,4.0,Automatic,Front,04-May,Left wheel,Grey,4,HYUNDAI Elantra,17158
45454953,-,HONDA,Insight,2011,Hatchback,No,Hybrid,1.3,160000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HONDA Insight,25
45687835,779,VOLKSWAGEN,Passat SE,2013,Sedan,Yes,Petrol,2.5,131000 km,5.0,Tiptronic,Front,04-May,Left wheel,Black,10,VOLKSWAGEN Passat SE,9361
45783054,-,KIA,Optima,2013,Sedan,Yes,Petrol,2.0 Turbo,91000 km,4.0,Automatic,Front,04-May,Left wheel,White,8,KIA Optima,17719
45800821,-,MERCEDES-BENZ,C 180,1994,Sedan,No,Petrol,1.8,0 km,4.0,Automatic,Rear,04-May,Left wheel,Black,4,MERCEDES-BENZ C 180,4800
45797159,831,HYUNDAI,Elantra,2017,Sedan,Yes,LPG,1.6,110000 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Elantra,23678
45776620,-,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2.4,106422 km,4.0,Tiptronic,Front,04-May,Left wheel,White,6,HYUNDAI Sonata,3
45812120,-,MERCEDES-BENZ,C 300,2008,Sedan,Yes,Petrol,3,110000 km,6.0,Automatic,Rear,04-May,Left wheel,Black,10,MERCEDES-BENZ C 300,21639
45793782,-,MERCEDES-BENZ,S 500,2003,Sedan,Yes,CNG,5,205000 km,8.0,Tiptronic,Rear,04-May,Left wheel,Grey,12,MERCEDES-BENZ S 500,10976
45803041,891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,147786 km,4.0,Automatic,Front,04-May,Left wheel,White,4,HYUNDAI Santa FE,38063
45816352,503,TOYOTA,Prius C,2012,Hatchback,Yes,Petrol,1.5,172800 km,4.0,Automatic,Front,04-May,Left wheel,Grey,12,TOYOTA Prius C,3
45810731,-,BMW,325,2000,Sedan,Yes,Petrol,2.5 Turbo,0 km,6.0,Tiptronic,Rear,04-May,Left wheel,Purple,6,BMW 325,7840
