Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Gear box type,Doors,Color,Airbags,Age,Price
0,2,624,4,1,1,3.0,270000,2,1,1,6,22,19757
0,28,398,4,1,1,3.0,158000,2,1,1,8,16,34494
891,17,530,4,1,1,2.0,140633,0,1,2,4,9,45138
831,33,606,4,1,5,1.6,59974,0,1,11,12,8,3136
1405,28,401,4,1,1,3.0,278904,0,1,2,12,16,10663
707,5,206,9,1,1,2.0,202420,0,1,14,4,14,10986
530,17,243,9,1,5,1.6,117500,0,1,7,4,12,17158
779,47,463,9,1,5,2.5,131000,2,1,1,10,12,9361
0,22,446,9,1,5,2.0,91000,0,1,14,8,12,17719
831,17,243,9,1,4,1.6,110000,0,1,14,4,8,23678
0,28,123,9,1,5,3.0,110000,0,1,1,10,17,21639
891,17,530,4,1,1,2.0,147786,0,1,14,4,9,38063
0,2,34,9,1,5,2.5,0,2,1,10,6,25,7840
362,5,554,9,1,5,1.0,31114,0,1,1,4,11,9405
640,22,446,9,1,5,2.0,0,2,1,1,0,12,13000
503,44,91,3,1,5,1.5,20400,0,1,2,4,13,21558
1017,17,587,4,1,1,2.0,104918,0,1,14,4,8,45542
915,2,624,4,1,1,3.0,141384,0,1,2,0,11,7056
761,44,196,9,1,5,1.8,116992,0,1,12,12,15,1333
640,22,446,9,1,5,2.0,45156,0,1,14,4,12,9408
308,15,188,9,1,2,1.5,49272,0,1,2,0,10,4861
966,17,318,1,1,5,2.0,177000,0,1,12,4,16,13297
0,15,254,7,0,5,2.4,120500,0,1,14,8,19,15681
531,17,243,9,1,5,1.6,70196,0,1,12,4,13,27065
1327,27,155,4,0,5,2.5,20000,2,1,1,12,7,51746
642,5,408,9,1,5,2.0,114929,0,1,1,4,13,22825
707,17,530,4,1,1,2.0,52876,0,1,12,4,14,13360
0,47,462,9,1,5,2.8,204000,2,1,12,6,24,7840
640,41,498,4,1,1,2.0,95430,0,1,12,4,12,34419
0,31,85,4,0,0,2.4,14529,2,1,1,2,22,8154
1058,28,229,9,1,1,3.5,128202,0,1,1,12,13,4861
831,12,259,4,1,5,2.4,128000,0,1,12,8,14,14426
753,5,408,9,1,5,2.4,146367,0,1,7,4,13,20237
836,17,587,4,1,1,2.0,127105,0,1,12,4,15,25889
1172,28,401,4,1,1,3.5,186542,0,1,14,12,14,2038
425,22,472,9,1,5,1.0,39625,0,1,0,4,10,12231
900,31,452,4,1,5,2.4,51141,0,1,12,12,10,1333
0,34,97,2,0,1,1.7,173000,1,1,2,2,18,11604
1399,28,230,9,1,5,3.5,76000,2,1,14,8,15,39201
0,17,588,4,1,5,2.0,131200,2,1,7,8,8,37633
1850,24,502,4,1,2,3.5,244731,0,1,1,12,17,7997
707,5,206,9,1,1,2.0,162001,0,1,14,4,14,14884
642,17,587,4,1,1,2.0,192534,0,1,14,4,13,19456
1077,44,136,1,1,5,2.0,5219,0,1,14,12,6,6586
697,15,188,9,1,5,1.8,24696,0,1,11,4,10,46866
690,24,505,4,1,2,3.5,0,0,1,7,12,9,34811
919,28,401,4,1,1,3.0,221312,0,1,2,12,13,2430
1327,44,163,9,1,5,2.5,105235,0,1,2,12,7,4234
640,12,277,3,1,5,2.0,200000,0,1,12,6,12,11604
0,42,388,9,0,5,2.0,185000,2,1,12,8,20,4391
915,2,624,4,1,1,3.0,0,0,1,1,0,11,10349
0,33,619,4,1,5,2.0,137453,0,1,14,6,20,11917
730,41,83,4,1,5,1.6,26000,0,1,2,4,9,43868
420,22,438,4,1,2,1.6,429,0,1,12,12,6,12701
966,8,380,9,1,5,2.0,74540,0,1,12,4,16,4679
1017,17,243,9,0,5,2.0,89000,0,1,2,6,8,20385
1054,28,607,7,1,1,2.2,180000,1,1,2,4,16,28852
1505,12,583,2,0,1,1.8,143560,1,1,14,2,13,13799
0,2,631,4,1,5,3.0,170000,2,1,2,10,16,45473
1017,17,530,4,1,1,2.0,107845,0,1,12,4,8,52696
919,17,331,9,1,5,3.0,137235,0,1,12,4,13,15524
502,15,188,9,1,2,1.5,144872,0,1,14,0,12,8311
1268,44,91,3,0,2,1.5,135000,0,1,12,2,13,9722
707,41,498,4,1,1,2.0,53323,0,1,1,4,14,32035
891,17,530,4,1,1,2.0,119240,0,1,2,4,9,53154
1714,33,430,9,1,5,3.5,39704,0,1,2,12,8,8154
1195,28,610,6,0,1,2.2,179348,1,1,14,2,17,21012
642,47,360,9,1,1,2.0,198253,0,1,1,12,13,4391
0,44,477,3,0,2,1.8,90000,0,1,14,4,13,21953
0,15,270,3,0,5,1.5,240000,1,1,11,4,16,12544
1017,15,188,9,1,5,2.0,5000,0,1,14,4,8,51191
584,17,243,9,0,5,1.8,150000,2,1,7,8,11,18503
0,28,401,4,1,1,3.0,230400,2,1,1,12,15,37633
528,17,243,9,1,1,1.6,138598,0,1,14,4,11,20266
1058,44,163,9,1,5,3.5,152679,2,1,1,12,13,20385
364,5,554,3,1,5,1.0,160000,0,1,2,4,13,8643
382,17,545,9,1,2,2.4,247835,0,1,1,0,11,1882
502,44,479,3,1,2,1.5,90000,0,1,2,12,12,17249
0,2,35,9,1,5,2.0,112000,2,1,1,12,13,32302
271,15,270,10,1,2,1.5,82105,0,1,12,4,11,17509
530,17,243,9,1,5,1.6,167137,0,1,7,4,12,18826
0,15,270,3,0,5,1.3,136000,0,1,13,5,21,7370
836,17,587,4,1,1,2.0,135720,0,1,1,4,15,24123
642,47,574,4,1,5,2.0,48379,2,1,10,14,13,21326
765,5,408,9,1,4,2.0,56128,0,1,14,4,10,13150
1292,28,306,4,1,5,3.0,59099,0,1,14,0,9,1646
640,12,128,9,0,2,2.0,144000,0,1,2,10,12,12544
585,17,243,9,0,5,1.8,184874,0,1,1,8,12,15681
843,44,477,3,0,2,1.5,95500,0,1,12,12,17,11604
1053,12,266,4,1,5,3.5,148454,0,1,1,12,11,5802
1172,28,309,4,1,5,3.5,185600,2,1,1,10,14,31361
0,27,407,7,0,0,2.5,192000,0,1,2,2,24,5331
1017,17,530,4,1,1,2.0,105751,0,1,14,4,8,53154
0,28,229,9,1,5,3.5,238357,2,1,12,8,20,16621
1018,28,401,4,1,1,3.0,275862,0,1,12,12,14,9879
900,17,545,9,0,5,2.4,51000,2,1,3,12,10,19444
586,44,477,9,1,2,1.8,118000,0,1,7,12,13,21326
810,17,243,9,1,5,1.8,70220,0,1,12,4,9,34877
0,44,477,9,0,2,1.8,67200,0,1,1,8,10,21953
0,44,479,3,0,2,1.5,60000,0,1,7,12,11,20385
891,17,545,9,1,4,2.0,255591,0,1,12,4,9,15681
642,1,73,9,1,5,2.0,292331,0,1,1,0,13,2666
642,22,446,9,1,5,2.0,46208,0,1,12,4,13,8781
518,44,163,9,0,2,2.5,45000,0,1,2,12,9,36065
1282,22,555,4,1,1,2.0,71168,0,1,1,4,18,5959
0,44,91,9,1,2,1.5,78300,0,1,14,4,12,17249
530,22,499,9,0,5,1.6,137000,0,1,1,4,12,12544
0,31,85,4,0,5,2.4,13000,2,1,14,2,22,10349
891,17,545,9,1,4,2.0,263886,0,1,12,4,9,15681
583,17,243,9,1,5,1.6,106616,0,1,1,4,14,20005
0,47,577,7,0,5,2.0,135000,2,1,12,8,21,7997
0,28,119,9,1,5,2.4,2000,2,1,1,12,23,10349
697,17,243,9,1,5,1.8,115507,0,1,1,12,10,4077
770,17,587,4,1,1,1.7,119979,0,1,12,4,9,38725
629,12,275,9,0,5,1.6,93500,0,1,12,10,10,6272
271,44,477,3,1,2,1.5,89986,0,1,7,0,11,18817
0,44,612,9,0,5,1.5,150000,1,1,14,0,24,12541
765,17,530,4,1,1,2.0,117000,0,1,1,4,10,46919
1708,41,498,4,1,1,2.7,76364,0,1,1,4,18,6115
1172,28,229,9,1,1,3.5,119379,0,1,12,12,14,16621
503,44,91,3,1,5,1.5,81400,0,1,8,4,13,16960
779,44,163,9,0,5,2.5,22400,2,1,14,8,12,20385
730,5,450,4,1,1,1.6,51287,0,1,7,4,9,27093
1195,12,581,6,0,1,2.2,182320,1,1,14,4,17,16935
0,44,477,3,0,2,1.8,260000,0,1,11,12,15,12544
0,28,401,4,1,1,3.0,200000,2,1,7,12,14,36065
781,44,163,9,1,5,2.5,101000,2,1,1,12,13,21012
382,17,545,9,1,2,2.4,247835,0,1,1,0,11,1882
730,41,83,4,1,1,1.6,59197,0,1,14,4,9,43576
0,12,290,9,1,2,2.5,75000,0,1,1,0,15,17562
934,44,163,9,1,5,2.5,80000,0,1,1,8,10,27284
891,17,530,4,1,1,2.0,129388,0,1,7,4,9,41720
642,47,360,9,1,1,2.0,119619,0,1,1,12,13,9408
585,44,477,3,0,2,1.8,138000,0,1,6,6,12,19444
0,31,457,4,1,1,3.0,0,0,1,1,12,5,94083
0,17,352,4,0,5,2.0,52000,0,1,1,6,14,30107
0,22,283,9,0,5,1.8,65600,2,1,7,10,9,16935
663,17,545,9,1,1,1.7,20796,0,1,14,4,10,19598
586,44,477,3,0,2,1.8,59000,0,1,1,10,13,20385
0,12,277,3,1,5,2.0,152000,2,1,1,8,12,17249
639,41,498,4,1,1,2.0,87681,0,1,1,4,11,45633
0,2,35,9,1,5,2.0,26000,2,1,14,12,10,42337
639,17,545,9,1,4,2.0,185302,0,1,14,4,11,13799
0,46,15,4,0,5,1.7,38181,1,1,14,0,17,7840
0,34,599,3,0,1,2.0,11111,1,1,11,2,25,4704
749,15,203,4,1,5,2.4,0,0,1,4,12,11,2195
1357,34,95,10,0,5,1.6,171000,1,1,14,0,21,6272
862,17,333,7,1,1,2.5,38283,0,1,12,4,14,29636
308,44,477,3,1,2,1.8,151923,0,1,14,12,11,4391
0,42,282,4,1,5,2.5,285888,2,1,5,4,17,16308
0,44,611,9,0,5,1.5,178000,0,1,12,2,21,6586
645,44,477,1,1,2,1.8,229461,0,1,1,12,14,3293
765,17,587,4,1,1,2.0,161388,0,1,14,4,10,27827
753,14,565,4,1,5,2.4,204048,0,1,12,12,13,2430
645,24,153,3,1,2,1.8,224267,0,1,12,0,14,3293
765,22,446,9,1,5,2.0,0,2,1,14,0,10,14500
1249,44,163,9,1,5,2.5,89064,0,1,14,12,8,6115
640,41,498,4,1,1,2.0,152847,0,1,12,4,12,32035
687,17,243,9,1,5,1.6,80861,0,1,12,4,15,15423
1055,28,229,9,1,1,3.5,107800,0,1,7,12,12,5802
1109,15,270,3,0,2,1.3,139000,0,1,12,2,11,9408
1091,44,493,4,0,5,2.5,60000,2,1,4,8,9,40769
0,27,213,3,0,0,1.4,185000,1,1,2,4,22,7213
836,17,318,1,1,5,2.0,115363,0,1,11,4,15,15289
345,44,91,10,1,2,1.5,10409,0,1,1,4,9,40346
639,17,587,4,1,1,2.0,130000,0,1,12,4,11,29777
0,44,477,3,0,2,1.8,1000,2,1,12,8,15,16308
0,47,361,9,1,5,2.0,135000,2,1,12,10,10,21326
1047,17,243,9,1,5,1.6,126184,0,1,12,4,18,12585
934,17,333,7,1,1,2.5,52351,0,1,15,4,10,23518
1017,17,243,9,1,5,2.0,47914,0,1,14,12,8,1725
0,15,270,3,0,2,1.3,311000,0,1,14,6,13,10450
891,17,545,9,1,4,2.0,292837,0,1,12,4,9,11290
779,44,163,9,0,2,2.5,62915,0,1,14,12,12,31988
831,41,83,4,1,5,1.6,81348,0,1,12,4,8,35610
640,41,498,4,1,1,2.0,101335,0,1,14,4,12,31449
1058,44,339,4,1,5,3.5,285186,0,1,7,12,13,9565
586,5,206,9,1,5,1.8,156779,0,1,1,4,13,10958
531,17,243,9,1,5,1.6,108900,0,1,12,4,13,20209
810,17,243,9,0,5,1.8,80000,2,1,7,12,9,15053
0,15,270,3,0,5,1.3,150000,0,1,12,4,21,7527
779,44,163,9,1,5,2.5,126000,2,1,12,12,12,23207
586,44,477,3,0,2,1.8,102000,0,1,1,8,13,11917
753,6,8,9,1,5,2.4,185821,0,1,7,12,13,2274
640,41,375,4,1,1,2.0,93338,0,1,14,4,12,26149
707,17,545,9,1,5,2.0,169765,0,1,12,12,14,3607
1249,17,333,10,1,1,2.5,143629,0,1,1,4,8,35846
0,28,228,9,1,1,3.2,261086,2,1,1,12,22,19757
0,24,502,4,1,2,3.3,273600,2,1,12,10,18,19444
0,2,624,4,1,5,3.0,160000,2,1,0,6,17,25716
0,47,574,4,0,5,2.0,74000,0,1,1,12,12,30420
0,28,219,9,0,1,2.2,295000,1,1,12,6,24,8781
0,2,624,4,1,5,3.0,270000,2,1,7,10,20,18503
1202,17,545,9,1,5,2.4,97614,0,1,2,12,8,3293
473,5,206,9,1,5,1.4,120000,0,1,1,4,11,11917
1347,12,259,4,1,2,2.5,256000,0,1,13,12,17,16308
640,17,530,4,1,1,2.0,207187,0,1,1,4,12,33409
0,17,243,9,0,5,1.8,115200,2,1,7,6,12,18189
0,27,213,3,0,0,1.4,185000,1,1,2,4,22,7213
640,41,498,4,1,1,2.0,40989,0,1,12,4,12,34387
1468,12,259,4,0,2,2.3,251200,0,1,0,6,18,11917
707,1,72,3,1,5,2.0,145600,1,1,1,8,14,19444
1017,17,545,9,1,4,2.0,227911,0,1,14,4,8,16935
928,34,95,3,0,5,1.4,200000,1,1,1,6,18,7840
770,17,587,4,1,1,1.7,129816,0,1,7,4,9,38445
730,17,243,9,1,5,1.6,32595,0,1,12,4,9,18817
0,44,477,9,1,2,1.8,115023,0,1,7,8,14,17249
333,12,290,9,1,2,2.0,137328,0,1,12,0,11,7997
530,33,370,4,1,5,1.6,75000,2,1,7,8,12,20385
0,5,206,9,0,5,1.4,47543,2,1,13,12,9,20385
843,44,477,9,0,2,1.5,227200,0,1,2,4,17,12544
0,2,30,9,0,5,2.2,13700,1,1,0,6,21,8500
686,5,206,9,1,5,1.6,58221,0,1,12,4,15,5488
0,12,581,6,0,1,2.2,180000,1,1,14,2,17,16308
0,47,323,9,0,0,1.6,187000,1,1,12,4,25,5959
779,44,163,9,1,2,2.5,126018,0,1,1,12,12,22580
0,31,377,8,1,1,2.5,76000,1,1,12,4,10,48610
1249,33,90,9,1,5,2.5,134571,0,1,7,12,8,3293
0,43,330,4,0,5,2.5,217600,0,1,1,0,24,9408
1249,17,333,10,1,1,2.5,111643,0,1,7,4,8,43952
915,2,624,4,1,1,3.0,141384,0,1,2,0,11,25089
333,12,128,9,1,6,2.0,163000,2,1,1,12,11,17876
1091,27,157,9,1,5,2.5,154862,0,1,11,12,9,3293
0,17,545,9,0,2,2.4,20000,2,1,1,4,12,21953
687,17,243,9,1,5,1.6,159048,0,1,12,4,15,13771
831,15,82,9,1,5,1.5,60062,0,1,1,12,7,11290
765,12,570,9,1,5,2.0,87704,0,1,1,4,10,40092
0,17,243,9,0,5,2.0,38400,0,1,11,6,8,21953
1172,24,237,9,1,5,3.5,63905,0,1,12,4,14,39026
880,17,243,9,1,5,1.6,53000,0,1,14,4,7,27924
0,12,581,2,0,1,2.0,245452,1,1,11,4,21,10976
831,41,83,4,1,1,1.6,97709,0,1,14,4,8,38580
891,28,303,4,1,5,2.0,109555,0,1,14,0,9,8311
1079,36,641,9,1,5,2.0,28840,0,1,2,12,7,46414
770,17,587,4,1,1,1.7,99217,0,1,14,4,9,34980
0,44,477,3,1,2,1.8,200000,2,1,7,6,16,13799
1018,28,401,4,1,1,3.0,111000,2,1,7,12,14,37633
524,22,184,9,1,1,1.6,162878,0,1,14,4,11,12529
0,42,388,9,0,5,3.0,209000,2,1,12,4,22,7840
836,17,545,9,1,5,2.0,195921,0,1,1,4,15,16894
765,41,498,4,1,1,2.0,102118,0,1,2,4,10,45044
1187,15,270,3,0,2,1.4,0,0,1,15,2,11,10192
934,42,282,4,1,5,2.5,81058,0,1,12,0,10,10663
0,43,374,9,1,5,2.4,89000,0,1,1,10,12,23521
707,17,530,4,1,1,2.0,191836,0,1,12,4,14,23138
878,15,188,9,1,5,1.8,75000,0,1,14,12,16,12544
639,12,290,9,1,5,2.0,141752,0,1,14,0,11,18817
640,12,290,9,1,2,2.0,174619,0,1,7,0,12,1646
1493,24,501,4,0,5,3.5,0,0,1,14,0,9,64604
880,41,83,4,1,1,1.6,40137,0,1,7,4,7,44752
0,17,545,9,1,5,2.4,0,2,1,12,12,14,18189
639,17,587,4,1,1,2.0,117436,0,1,14,4,11,34240
0,1,73,9,1,1,2.0,98000,2,1,1,0,9,46258
1249,17,333,10,1,1,2.5,96117,0,1,12,4,8,43655
1053,28,229,9,1,5,3.5,80640,2,1,1,0,11,46414
831,15,270,3,1,5,1.5,8000,0,1,1,4,7,60502
0,2,631,4,1,5,3.5,180000,2,1,1,0,15,78403
0,47,360,9,0,5,2.5,316501,0,1,12,0,18,7840
1079,44,136,4,1,5,2.0,22816,0,1,7,12,7,2195
0,44,163,9,1,5,2.5,20800,2,1,7,8,9,37633
0,12,128,9,1,2,2.0,254455,0,1,14,12,11,16621
1172,44,339,4,1,2,3.5,342622,0,1,1,12,14,1568
0,33,410,3,0,5,1.4,177000,0,1,15,4,21,5959
382,5,613,3,1,2,1.5,115658,0,1,1,12,8,9879
753,22,446,9,0,5,2.4,183342,2,1,7,4,13,11290
891,5,408,9,1,5,2.0,113509,0,1,14,4,9,25744
1399,24,238,9,1,5,3.5,187144,0,1,1,12,15,1254
761,33,575,3,0,5,1.8,132540,0,1,13,8,15,7840
639,17,587,4,1,1,2.0,137469,0,1,1,4,11,33230
891,1,485,9,1,5,2.0,1717,0,1,1,0,9,16308
0,44,136,4,0,5,2.0,23400,2,1,13,12,7,43905
831,15,188,3,1,5,1.5,13048,0,1,7,4,7,59837
642,5,206,9,1,1,2.0,101275,0,1,14,4,13,16599
971,41,498,4,1,1,2.2,82907,0,1,1,4,9,54167
779,47,360,9,1,1,2.5,23184,0,1,14,12,12,1411
915,2,624,4,1,1,3.0,110715,0,1,14,0,11,16621
765,17,530,4,1,1,2.0,36819,0,1,14,4,10,55638
650,17,80,9,1,5,1.4,92000,0,1,14,4,9,21103
0,28,231,9,0,5,2.0,230000,1,1,1,12,24,10036
1079,2,621,4,1,5,2.0,35000,2,1,1,12,7,62719
832,44,569,4,1,5,2.7,64994,0,1,7,12,11,3763
966,17,318,1,1,5,2.0,106325,0,1,14,4,16,14229
586,5,206,9,1,5,1.8,181550,0,1,2,12,13,2901
779,47,360,9,0,5,2.5,154000,2,1,1,6,12,14113
562,5,206,9,1,5,1.4,167317,0,1,11,12,10,1490
0,12,275,9,0,5,1.6,108000,2,1,1,8,10,15053
0,2,38,9,1,1,3.0,197000,2,1,1,8,15,25089
1017,17,530,4,1,1,2.0,119986,0,1,2,4,8,51526
1018,2,624,4,1,5,3.0,170043,0,1,7,12,14,11133
503,44,91,3,1,5,1.5,157000,0,1,1,4,13,16869
891,17,530,4,1,1,2.0,113120,0,1,7,4,9,41720
836,41,83,9,1,1,2.0,233503,0,1,12,4,15,11807
0,15,270,3,0,2,1.3,157000,2,1,14,2,15,11604
640,42,637,4,0,5,2.0,128000,1,1,14,8,12,10036
642,5,408,9,1,5,2.0,65006,0,1,12,4,13,21699
333,42,637,4,1,2,2.0,127637,0,1,14,0,11,1098
765,17,545,9,1,4,2.0,311337,0,1,14,4,10,10976
0,44,167,9,1,5,2.5,15000,2,1,12,12,9,37633
1079,17,243,9,1,5,2.0,35168,0,1,7,4,7,43143
878,44,477,9,1,2,1.8,281600,0,1,14,0,16,7213
777,5,408,9,1,5,2.5,310061,0,1,2,12,11,1725
781,17,333,7,1,1,2.5,61272,0,1,12,4,13,18305
473,5,206,9,1,5,1.4,121122,0,1,14,4,11,16010
836,17,587,4,1,1,2.0,80118,0,1,14,4,15,27065
0,47,462,9,1,5,1.8,78000,2,1,14,12,11,22580
900,22,446,9,0,5,2.4,66100,2,1,1,12,10,17876
475,5,206,9,0,5,1.4,95000,0,1,12,12,13,13172
639,17,587,4,1,1,2.0,31169,0,1,14,4,11,23505
650,5,206,9,0,5,1.4,182880,0,1,1,8,9,12231
639,17,587,4,1,1,2.0,134750,0,1,7,4,11,30351
607,44,163,9,1,2,2.5,9626,0,1,1,12,6,3450
0,44,163,9,0,2,2.5,168000,0,1,7,10,12,24462
900,31,452,4,0,5,2.4,64467,0,1,14,8,10,25559
528,17,243,9,1,5,1.6,54734,0,1,12,4,11,24709
0,17,80,3,0,5,1.6,57736,2,1,14,8,9,15053
790,5,380,9,1,5,1.6,163560,0,1,7,4,16,12861
0,17,331,9,1,5,3.0,122000,0,1,14,12,13,32302
0,33,410,3,0,0,1.2,145000,0,1,11,0,21,6899
986,44,163,9,1,2,2.4,132000,2,1,6,12,15,12231
761,44,477,3,1,2,1.8,192000,2,1,2,12,15,8467
919,2,624,4,1,1,3.0,274098,0,1,14,0,13,7213
765,17,545,9,1,4,2.0,77418,0,1,12,4,10,10349
843,15,270,3,0,5,1.5,200000,2,1,8,8,17,12074
1017,17,530,4,1,1,2.0,29853,0,1,14,4,8,42337
1079,17,530,4,1,1,2.0,47692,0,1,1,4,7,53188
583,17,243,9,1,5,1.6,76462,0,1,7,4,14,19707
639,1,73,9,1,5,2.0,123640,0,1,2,0,11,3293
0,44,611,3,0,5,1.0,95000,0,1,14,6,14,14426
1273,41,498,4,1,1,2.7,157446,0,1,12,4,16,16894
1077,44,136,4,1,5,2.0,10610,0,1,12,12,6,24462
765,28,123,9,1,5,2.0,45000,0,1,7,6,10,49237
0,44,479,9,1,2,1.5,83200,0,1,7,8,13,19757
0,33,618,4,0,5,3.3,94000,1,1,12,4,23,10976
891,24,347,9,1,5,2.0,58328,0,1,14,12,9,3763
